X,Y
4.051115,5.9037733
4.0838375,5.8838763
4.1410165,5.8467283
4.2431803,5.746252
4.255381,5.704126
4.4023337,6.0094523
4.4357724,5.7592735
4.4778624,5.996991
4.6015778,5.417831
4.765839,5.2394133
4.920194,5.114832
4.9312787,4.970866
5.0405636,4.841922
5.1125655,4.8426237
5.1261005,5.490195
5.238505,4.79046
5.2493935,5.7285476
5.3183546,5.8234534
5.3307285,5.572311
5.4252734,6.092442
5.4736547,6.0079
5.476358,5.3498993
5.5113616,5.9957952
5.6314883,6.2444544
5.6783605,6.249918
5.732287,6.2798676
5.7615795,5.630004
5.977003,5.781261
6.0126414,5.213147
6.115618,6.2818365
6.8566365,5.311797
6.8734612,5.474898
7.1033483,5.3308635
7.128947,5.715711
7.2192836,5.8183093
7.2906146,5.572168
7.3002467,6.082754
7.3501573,5.278742
7.3584466,5.6910524
7.4957705,6.0405087
7.6769514,6.062859
7.836379,5.509034
7.850465,5.98665
7.967584,5.1178784
7.9710684,5.432442
8.070977,4.994772
8.115277,5.0479555
8.298228,5.278768
8.412527,5.4432487
8.716256,5.9512305
9.070453,6.120411
9.121779,6.159688
9.1863365,6.1187906
9.323287,6.061252
9.455534,5.9193845
9.561453,6.047197
9.653531,6.1772447
9.756434,5.794201
9.92333,5.5990314
9.993535,6.0000153
10.152187,5.5198493
10.306653,5.793968
10.525028,5.569033
10.530963,6.0998635
10.588774,6.0900664
10.632127,5.4464626
10.641558,5.378142
10.80671,6.294821
10.8829,5.658407
10.938229,5.600795
11.045524,6.370248
11.162155,5.3408794
11.17738,6.7955904
11.198806,5.38809
11.303586,6.68531
11.363704,6.6116405
11.464362,6.7132
11.513371,5.709945
11.536679,6.535316
11.539826,6.6081576
11.608579,6.006101
11.612284,6.4139485
11.678705,6.2725215
11.738883,5.895885
11.860409,5.0230184
12.153338,4.823448
12.17534,4.792206
12.407987,4.736628
13.0920725,4.367163
13.466456,4.12683
13.78201,3.9409845
13.883373,3.8617306
13.904205,3.8407378
14.042343,3.7559845
14.23632,3.638572
14.417307,3.6465123
14.519818,3.258709
14.519978,3.2100403
14.599025,3.5260723
14.600645,3.5953026
14.61632,3.3323827
14.620629,3.4636338
14.631749,3.1625836
14.656481,3.2984805
14.826395,3.6074722
